original_order,aggregated_order,date,futures,sum_added,fee_added
1251011973939384330,1251011973939384330,2024-12-12,XRPUSDT,-0.00606075,0.0
1251011971489910826,1251011971489910826,2024-12-12,ETHUSDT,-0.051986628,0.0
1251011964518977537,1251011964518977537,2024-12-12,DOGEUSDT,-0.0099782028,0.0
1251011956281364564,1251011956281364564,2024-12-12,DOTUSDT,-0.0074488,0.0
1251011948068917259,1251011948068917259,2024-12-12,SOLUSDT,-0.049679784,0.0
1251011947376857099,1251011947376857099,2024-12-12,LINKUSDT,-0.00749372,0.0
1251011946579939391,1251011946579939391,2024-12-12,BTCUSDT,-0.0675273984,0.0
1251011939701280782,1251011939701280782,2024-12-12,POLUSDT,-0.003245,0.0
1251011933476933647,1251011933476933647,2024-12-12,MANAUSDT,-0.00524514375,0.0
1251011926824767501,1251011926824767501,2024-12-12,ADAUSDT,-0.00497424,0.0
1250891181486428174,1251011971489910826,2024-12-12,ETHUSDT,-0.05286021,0.0
1250891171046805509,1251011973939384330,2024-12-12,XRPUSDT,-0.0059835,0.0
1250891171000668168,1251011926824767501,2024-12-12,ADAUSDT,-0.00467109,0.0
1250891166621814828,1251011948068917259,2024-12-12,SOLUSDT,-0.050455272,0.0
1250891165535490060,1251011946579939391,2024-12-12,BTCUSDT,-0.0746075196,0.0
1250891156979109888,1251011947376857099,2024-12-12,LINKUSDT,-0.0048124,0.0
1250891156811337760,1251011964518977537,2024-12-12,DOGEUSDT,-0.01008504,0.0
1250891139413364752,1251011956281364564,2024-12-12,DOTUSDT,-0.0071932,0.0
1250891129435115531,1251011939701280782,2024-12-12,POLUSDT,-0.003148,0.0
1250891124464865281,1251011933476933647,2024-12-12,MANAUSDT,-0.00583329075,0.0
1250770385774497799,1250770385774497799,2024-12-11,ETHUSDT,-0.04997916,0.0
1250770381311758357,1250770381311758357,2024-12-11,DOGEUSDT,-0.0099108,0.0
1250770374202413079,1250770374202413079,2024-12-11,BTCUSDT,-0.0770823936,0.0
1250770373598433303,1250770373598433303,2024-12-11,XRPUSDT,-0.00611675,0.0
1250770373514547210,1250770373514547210,2024-12-11,SOLUSDT,-0.048870966,0.0
1250770363817316365,1250770363817316365,2024-12-11,DOTUSDT,-0.004410096,0.0
1250770342401200144,1250770342401200144,2024-12-11,ADAUSDT,-0.00470592,0.0
1250770338223673352,1250770338223673352,2024-12-11,LINKUSDT,-0.0047784,0.0
1250770328845209603,1250770328845209603,2024-12-11,POLUSDT,-0.0031285,0.0
1250770328182509599,1250770328182509599,2024-12-11,MANAUSDT,-0.0057214365,0.0
1250649585432055859,1250770374202413079,2024-12-11,BTCUSDT,-0.0694992606,0.0
1250649585260089359,1250770385774497799,2024-12-11,ETHUSDT,-0.04820112,0.0
1250649584261845017,1250770373514547210,2024-12-11,SOLUSDT,-0.051965872,0.0
1250649576510771256,1250770381311758357,2024-12-11,DOGEUSDT,-0.0077302,0.0
1250649567962779652,1250770342401200144,2024-12-11,ADAUSDT,-0.0042785,0.0
1250649558441709596,1250770373598433303,2024-12-11,XRPUSDT,-0.005718,0.0
1250649550069878836,1250770338223673352,2024-12-11,LINKUSDT,-0.0044422,0.0
1250649547972726787,1250770328182509599,2024-12-11,MANAUSDT,-0.00490812,0.0
1250649546525691940,1250770363817316365,2024-12-11,DOTUSDT,-0.00660864,0.0
1250649528435658782,1250770328845209603,2024-12-11,POLUSDT,-0.002859,0.0
1250528788038209539,1250770373598433303,2024-12-11,XRPUSDT,-0.00592275,0.0
1250528787992072225,1250770373514547210,2024-12-11,SOLUSDT,-0.045713182,0.0
1250528774771625994,1250770338223673352,2024-12-11,LINKUSDT,-0.004422,0.0
1250528771726561305,1250770363817316365,2024-12-11,DOTUSDT,-0.00670984,0.0
1250528759055568908,1250770385774497799,2024-12-11,ETHUSDT,-0.0448485072,0.0
1250528756308299810,1250770342401200144,2024-12-11,ADAUSDT,-0.00439159,0.0
1250528754152427537,1250770328845209603,2024-12-11,POLUSDT,-0.0029,0.0
1250528753498116112,1250770374202413079,2024-12-11,BTCUSDT,-0.0649160736,0.0
1250528739522695180,1250770381311758357,2024-12-11,DOGEUSDT,-0.002992728,0.0
1250528738423787535,1250770328182509599,2024-12-11,MANAUSDT,-0.005157099,0.0
1250408003516682259,1250408003516682259,2024-12-10,ETHUSDT,-0.0436554288,0.0
1250407996034043975,1250407996034043975,2024-12-10,BTCUSDT,-0.07231707,0.0
1250407992036872246,1250407992036872246,2024-12-10,SOLUSDT,-0.03178252,0.0
1250407978321498129,1250407978321498129,2024-12-10,DOGEUSDT,-0.007113795,0.0
1250407970721419294,1250407970721419294,2024-12-10,ADAUSDT,-0.00806055,0.0
1250407966564864002,1250407966564864002,2024-12-10,POLUSDT,-0.002732,0.0
1250407959925280786,1250407959925280786,2024-12-10,DOTUSDT,-0.00630288,0.0
1250407940891529238,1250407940891529238,2024-12-10,MANAUSDT,-0.004474197,0.0
1250287204302508041,1250408003516682259,2024-12-10,ETHUSDT,-0.049748202,0.0
1250287189702135865,1250407996034043975,2024-12-10,BTCUSDT,-0.0717464412,0.0
1250287182110445597,1250407992036872246,2024-12-10,SOLUSDT,-0.030732583,0.0
1250287172354494500,1250407959925280786,2024-12-10,DOTUSDT,-0.0068596,0.0
1250287166667018270,1250407978321498129,2024-12-10,DOGEUSDT,-0.00839024,0.0
1250287166063038470,1250407970721419294,2024-12-10,ADAUSDT,-0.00863005,0.0
1250287149336154138,1250407966564864002,2024-12-10,POLUSDT,-0.002935,0.0
1250287146987343883,1250407940891529238,2024-12-10,MANAUSDT,-0.0049591575,0.0
1250166406136909824,1250408003516682259,2024-12-10,ETHUSDT,-0.0526002936,0.0
1250166402496253962,1250407992036872246,2024-12-10,SOLUSDT,-0.0342933304,0.0
1250166401774833691,1250407996034043975,2024-12-10,BTCUSDT,-0.0677835096,0.0
1250166389212893206,1250407970721419294,2024-12-10,ADAUSDT,-0.00853315,0.0
1250166364047069185,1250407978321498129,2024-12-10,DOGEUSDT,-0.007913512,0.0
1250166355872370694,1250407940891529238,2024-12-10,MANAUSDT,-0.00529281675,0.0
1250166350914703361,1250407966564864002,2024-12-10,POLUSDT,-0.002912,0.0
1250045618180247552,1250045618180247552,2024-12-09,SOLUSDT,-0.031861392,0.0
1250045616838070294,1250045616838070294,2024-12-09,ETHUSDT,-0.0955066944,0.0
1250045613759451136,1250045613759451136,2024-12-09,DOGEUSDT,-0.008725611,0.0
1250045612094312490,1250045612094312490,2024-12-09,ADAUSDT,-0.015738294,0.0
1250045595661029381,1250045595661029381,2024-12-09,BTCUSDT,-0.0769011396,0.0
1249924850184278026,1250045618180247552,2024-12-09,SOLUSDT,-0.044260239,0.0
1249924849567715367,1250045616838070294,2024-12-09,ETHUSDT,-0.0780864,0.0
1249924830403940381,1250045613759451136,2024-12-09,DOGEUSDT,-0.01280307,0.0
1249924830039035922,1250045612094312490,2024-12-09,ADAUSDT,-0.035231854,0.0
1249924829430861887,1250045595661029381,2024-12-09,BTCUSDT,-0.1542445776,0.0
1249924773730504720,1249924773730504720,2024-12-09,MANAUSDT,-0.01012896,0.0
1249804045785944067,1250045618180247552,2024-12-09,SOLUSDT,-0.062157404,0.0
1249804043349053453,1250045595661029381,2024-12-09,BTCUSDT,-0.217373304,0.0
1249804039284772886,1250045616838070294,2024-12-09,ETHUSDT,-0.161074968,0.0
1249804036134850570,1250045613759451136,2024-12-09,DOGEUSDT,-0.027161358,0.0
1249804018292281360,1250045612094312490,2024-12-09,ADAUSDT,-0.049145844,0.0
1249804002106462235,1249924773730504720,2024-12-09,MANAUSDT,-0.024247704,0.0
1249683270638686216,1249683270638686216,2024-12-08,BTCUSDT,-0.1247689248,0.0
1249683248052359169,1249683248052359169,2024-12-08,ETHUSDT,-0.170610864,0.0
1249683243509927939,1249683243509927939,2024-12-08,DOGEUSDT,-0.013564572,0.0
1249683237663068173,1249683237663068173,2024-12-08,SOLUSDT,-0.073874318,0.0
1249683221053624321,1249683221053624321,2024-12-08,ADAUSDT,-0.042923725,0.0
1249683197678768140,1249683197678768140,2024-12-08,MANAUSDT,-0.03182516,0.0
1249562465367937056,1249683270638686216,2024-12-08,BTCUSDT,-0.119094933,0.0
1249562462029271044,1249683248052359169,2024-12-08,ETHUSDT,-0.2218023936,0.0
1249562458829017116,1249683237663068173,2024-12-08,SOLUSDT,-0.093192904,0.0
1249562454773125125,1249683221053624321,2024-12-08,ADAUSDT,-0.0377415045,0.0
1249562427422068755,1249683243509927939,2024-12-08,DOGEUSDT,-0.038335776,0.0
1249562390004682801,1249683197678768140,2024-12-08,MANAUSDT,-0.030376356,0.0
1249441676350115846,1249683248052359169,2024-12-08,ETHUSDT,-0.170375718,0.0
1249441670029299716,1249683270638686216,2024-12-08,BTCUSDT,-0.1192802418,0.0
1249441659514179598,1249683237663068173,2024-12-08,SOLUSDT,-0.135336792,0.0
1249441639444434952,1249683243509927939,2024-12-08,DOGEUSDT,-0.06075292,0.0
1249441623837429761,1249683221053624321,2024-12-08,ADAUSDT,-0.066935375,0.0
1249441589435748389,1249683197678768140,2024-12-08,MANAUSDT,-0.051185939,0.0
1249320871737872387,1249320871737872387,2024-12-07,ETHUSDT,-0.222665034,0.0
1249320868759916577,1249320868759916577,2024-12-07,BTCUSDT,-0.1000177362,0.0
1249320858777473053,1249320858777473053,2024-12-07,DOGEUSDT,-0.035161336,0.0
1249320856344776709,1249320856344776709,2024-12-07,SOLUSDT,-0.140017514,0.0
1249320812719820845,1249320812719820845,2024-12-07,ADAUSDT,-0.063609784,0.0
1249320801063849994,1249320801063849994,2024-12-07,MANAUSDT,-0.05516056,0.0
1249200061463318561,1249320868759916577,2024-12-07,BTCUSDT,-0.0901137498,0.0
1249200054421082112,1249320856344776709,2024-12-07,SOLUSDT,-0.091937038,0.0
1249200052768526373,1249320871737872387,2024-12-07,ETHUSDT,-0.1436022,0.0
1249200037086023707,1249320801063849994,2024-12-07,MANAUSDT,-0.038214865,0.0
1249200016672346114,1249320858777473053,2024-12-07,DOGEUSDT,-0.035197045,0.0
1249200013824413742,1249320812719820845,2024-12-07,ADAUSDT,-0.058888544,0.0
1249079273758314509,1249320868759916577,2024-12-07,BTCUSDT,-0.2263727088,0.0
1249079273028505617,1249320871737872387,2024-12-07,ETHUSDT,-0.2276184024,0.0
1249079268813230097,1249320858777473053,2024-12-07,DOGEUSDT,-0.038762064,0.0
1249079267999535137,1249320856344776709,2024-12-07,SOLUSDT,-0.157174758,0.0
1249079230506651660,1249320812719820845,2024-12-07,ADAUSDT,-0.0623402325,0.0
1249079212034936855,1249320801063849994,2024-12-07,MANAUSDT,-0.023542064,0.0
1248958472904167466,1248958472904167466,2024-12-06,DOGEUSDT,-0.010429757,0.0
1248958468437233675,1248958468437233675,2024-12-06,BTCUSDT,-0.069752124,0.0
1248958461894119437,1248958461894119437,2024-12-06,ETHUSDT,-0.1390782,0.0
1248958457724981249,1248958457724981249,2024-12-06,ADAUSDT,-0.030691154,0.0
1248958441115537409,1248958441115537409,2024-12-06,SOLUSDT,-0.042638516,0.0
1248958425294622722,1248958425294622722,2024-12-06,MANAUSDT,-0.030139548,0.0
1248837688869179404,1248958441115537409,2024-12-06,SOLUSDT,-0.183455468,0.0
1248837685043974155,1248958468437233675,2024-12-06,BTCUSDT,-0.106066368,0.0
1248837675514515466,1248958472904167466,2024-12-06,DOGEUSDT,-0.03757684,0.0
1248837669655072780,1248958461894119437,2024-12-06,ETHUSDT,-0.1842378672,0.0
1248837647819526150,1248958457724981249,2024-12-06,ADAUSDT,-0.0644163065,0.0
1248837607457739193,1248958425294622722,2024-12-06,MANAUSDT,-0.041842304,0.0
1248716890485477394,1248958468437233675,2024-12-06,BTCUSDT,-0.069845904,0.0
1248716887343943718,1248958461894119437,2024-12-06,ETHUSDT,-0.1417804128,0.0
1248716871099404299,1248958472904167466,2024-12-06,DOGEUSDT,-0.032978296,0.0
1248716841097547805,1248958441115537409,2024-12-06,SOLUSDT,-0.151759574,0.0
1248716840434847777,1248958457724981249,2024-12-06,ADAUSDT,-0.049407117,0.0
1248716829328330764,1248958425294622722,2024-12-06,MANAUSDT,-0.044685256,0.0
1248596085667713069,1248596085667713069,2024-12-05,BTCUSDT,-0.2287126032,0.0
1248596082895278113,1248596082895278113,2024-12-05,ADAUSDT,-0.09343914,0.0
1248596082714923073,1248596082714923073,2024-12-05,ETHUSDT,-0.3142525044,0.0
1248596078172491792,1248596078172491792,2024-12-05,SOLUSDT,-0.168218761,0.0
1248596040578945060,1248596040578945060,2024-12-05,DOGEUSDT,-0.042319035,0.0
1248596021318701068,1248596021318701068,2024-12-05,MANAUSDT,-0.0445221,0.0
1248475299103514643,1248596085667713069,2024-12-05,BTCUSDT,-0.541247238,0.0
1248475297673256961,1248596040578945060,2024-12-05,DOGEUSDT,-0.062294088,0.0
1248475291339857954,1248596082714923073,2024-12-05,ETHUSDT,-0.4281020232,0.0
1248475254769721354,1248596078172491792,2024-12-05,SOLUSDT,-0.159626874,0.0
1248475242404913256,1248596082895278113,2024-12-05,ADAUSDT,-0.1002602285,0.0
1248475230363066372,1248596021318701068,2024-12-05,MANAUSDT,-0.052263834,0.0
1248354498312282188,1248596085667713069,2024-12-05,BTCUSDT,-0.1960096602,0.0
1248354491442012194,1248596082714923073,2024-12-05,ETHUSDT,-0.2890148976,0.0
1248354472332763150,1248596040578945060,2024-12-05,DOGEUSDT,-0.028550516,0.0
1248354462073495566,1248596082895278113,2024-12-05,ADAUSDT,-0.051104482,0.0
1248354448697860142,1248596078172491792,2024-12-05,SOLUSDT,-0.11009904,0.0
1248354438845440009,1248596021318701068,2024-12-05,MANAUSDT,-0.03685376,0.0
1248233697680433166,1248233697680433166,2024-12-04,DOGEUSDT,-0.027405105,0.0
1248233696434724893,1248233696434724893,2024-12-04,SOLUSDT,-0.157911525,0.0
1248233695046410273,1248233695046410273,2024-12-04,BTCUSDT,-0.1592300706,0.0
1248233683222667277,1248233683222667277,2024-12-04,ETHUSDT,-0.302878224,0.0
1248233665644339227,1248233665644339227,2024-12-04,ADAUSDT,-0.057520792,0.0
1248233639526408221,1248233639526408221,2024-12-04,MANAUSDT,-0.030437715,0.0
1248112902413099011,1248233683222667277,2024-12-04,ETHUSDT,-0.2529434628,0.0
1248112897933582356,1248233695046410273,2024-12-04,BTCUSDT,-0.1838322942,0.0
1248112895526051863,1248233697680433166,2024-12-04,DOGEUSDT,-0.037350683,0.0
1248112890622910509,1248233696434724893,2024-12-04,SOLUSDT,-0.117463216,0.0
1248112846431723575,1248233665644339227,2024-12-04,ADAUSDT,-0.049251057,0.0
1248112834553454605,1248233639526408221,2024-12-04,MANAUSDT,-0.03383425,0.0
1247992108924149767,1248233683222667277,2024-12-04,ETHUSDT,-0.167085996,0.0
1247992097003937797,1248233695046410273,2024-12-04,BTCUSDT,-0.182415114,0.0
1247992090544709635,1248233696434724893,2024-12-04,SOLUSDT,-0.152612988,0.0
1247992068205846551,1248233697680433166,2024-12-04,DOGEUSDT,-0.034644024,0.0
1247992048740081673,1248233665644339227,2024-12-04,ADAUSDT,-0.0227989125,0.0
1247992034768855049,1248233639526408221,2024-12-04,MANAUSDT,-0.021750407,0.0
1247871307558297600,1247871307558297600,2024-12-03,ETHUSDT,-0.1106745696,0.0
1247871301698854940,1247871301698854940,2024-12-03,SOLUSDT,-0.126683109,0.0
1247871287597604900,1247871287597604900,2024-12-03,BTCUSDT,-0.080432772,0.0
1247871260271714329,1247871260271714329,2024-12-03,ADAUSDT,-0.02444124,0.0
1247871257469919271,1247871257469919271,2024-12-03,DOGEUSDT,-0.009795927,0.0
1247871246568923186,1247871246568923186,2024-12-03,MANAUSDT,-0.029421504,0.0
1247750503436787728,1247871287597604900,2024-12-03,BTCUSDT,-0.1680864234,0.0
1247750495685713924,1247871257469919271,2024-12-03,DOGEUSDT,-0.043032336,0.0
1247750493773111310,1247871307558297600,2024-12-03,ETHUSDT,-0.212833656,0.0
1247750492984582164,1247871301698854940,2024-12-03,SOLUSDT,-0.33431328,0.0
1247750489213902871,1247871260271714329,2024-12-03,ADAUSDT,-0.0568403755,0.0
1247750442434830366,1247871246568923186,2024-12-03,MANAUSDT,-0.036193503,0.0
1247629715488514077,1247871307558297600,2024-12-03,ETHUSDT,-0.1299477168,0.0
1247629702133850151,1247871257469919271,2024-12-03,DOGEUSDT,-0.030759864,0.0
1247629700267384884,1247871301698854940,2024-12-03,SOLUSDT,-0.219542724,0.0
1247629699051036684,1247871287597604900,2024-12-03,BTCUSDT,-0.090904194,0.0
1247629662325710859,1247871260271714329,2024-12-03,ADAUSDT,-0.036715648,0.0
1247629654109069318,1247871246568923186,2024-12-03,MANAUSDT,-0.03201576,0.0
1247508914575646764,1247508914575646764,2024-12-02,BTCUSDT,-0.097369851,0.0
1247508908770730012,1247508908770730012,2024-12-02,ETHUSDT,-0.14334879,0.0
1247508899690061899,1247508899690061899,2024-12-02,DOGEUSDT,-0.009371592,0.0
1247508896082960428,1247508896082960428,2024-12-02,SOLUSDT,-0.209695364,0.0
1247508888751317013,1247508888751317013,2024-12-02,ADAUSDT,-0.016331526,0.0
1247508855880556562,1247508855880556562,2024-12-02,MANAUSDT,-0.0191103,0.0
1247388118960185361,1247508908770730012,2024-12-02,ETHUSDT,-0.1823017536,0.0
1247388109636247560,1247508914575646764,2024-12-02,BTCUSDT,-0.1711660896,0.0
1247388089314844681,1247508896082960428,2024-12-02,SOLUSDT,-0.210952678,0.0
1247388074471202841,1247508899690061899,2024-12-02,DOGEUSDT,-0.016380542,0.0
1247388066791432238,1247508888751317013,2024-12-02,ADAUSDT,-0.043304593,0.0
1247388060692914186,1247508855880556562,2024-12-02,MANAUSDT,-0.02896803,0.0
1247267330101747716,1247508914575646764,2024-12-02,BTCUSDT,-0.183833118,0.0
1247267329925586946,1247508908770730012,2024-12-02,ETHUSDT,-0.202186176,0.0
1247267311634227221,1247508888751317013,2024-12-02,ADAUSDT,-0.069169345,0.0
1247267307561558019,1247508896082960428,2024-12-02,SOLUSDT,-0.234227136,0.0
1247146522591240207,1247146522591240207,2024-12-01,BTCUSDT,-0.068735826,0.0
1247146518958972965,1247146518958972965,2024-12-01,ETHUSDT,-0.1575535104,0.0
1247146507584020541,1247146507584020541,2024-12-01,ADAUSDT,-0.038805475,0.0
1247146502106259460,1247146502106259460,2024-12-01,SOLUSDT,-0.175689824,0.0
1247025730876481558,1247146518958972965,2024-12-01,ETHUSDT,-0.1124856216,0.0
1247025728867409946,1247146522591240207,2024-12-01,BTCUSDT,-0.1349422296,0.0
1247025727059664945,1247146502106259460,2024-12-01,SOLUSDT,-0.073518432,0.0
1247025681958314015,1247146507584020541,2024-12-01,ADAUSDT,-0.0182368095,0.0
1246904944404602906,1247146522591240207,2024-12-01,BTCUSDT,-0.1088240256,0.0
1246904934686400536,1247146518958972965,2024-12-01,ETHUSDT,-0.12228546,0.0
1246904924158697479,1247146507584020541,2024-12-01,ADAUSDT,-0.026803118,0.0
1246904912695664644,1247146502106259460,2024-12-01,SOLUSDT,-0.17591428,0.0
1246784124214714372,1246784124214714372,2024-11-30,BTCUSDT,-0.0818133606,0.0
1246784122557964303,1246784122557964303,2024-11-30,ETHUSDT,-0.1107416016,0.0
1246784109022945280,1246784109022945280,2024-11-30,ADAUSDT,-0.0274044675,0.0
1246784096536502324,1246784096536502324,2024-11-30,SOLUSDT,-0.15359424,0.0
1246663336182554659,1246784124214714372,2024-11-30,BTCUSDT,-0.11040159,0.0
1246663334576136207,1246784096536502324,2024-11-30,SOLUSDT,-0.173992152,0.0
1246663318834913281,1246784122557964303,2024-11-30,ETHUSDT,-0.1809712476,0.0
1246663310802821127,1246784109022945280,2024-11-30,ADAUSDT,-0.0435530055,0.0
1246542552042708994,1246784124214714372,2024-11-30,BTCUSDT,-0.070802424,0.0
1246542543977062413,1246784122557964303,2024-11-30,ETHUSDT,-0.1173300288,0.0
1246542538193117195,1246784096536502324,2024-11-30,SOLUSDT,-0.17332216,0.0
1246542520270856197,1246784109022945280,2024-11-30,ADAUSDT,-0.019305234,0.0
1246421755055710353,1246421755055710353,2024-11-29,BTCUSDT,-0.155959125,0.0
1246421750903349250,1246421750903349250,2024-11-29,ETHUSDT,-0.1730991276,0.0
1246421726333116424,1246421726333116424,2024-11-29,SOLUSDT,-0.189483456,0.0
1246421702316531717,1246421702316531717,2024-11-29,ADAUSDT,-0.029081577,0.0
1246300955438882818,1246421750903349250,2024-11-29,ETHUSDT,-0.1357933236,0.0
1246300945095729152,1246421726333116424,2024-11-29,SOLUSDT,-0.13357054,0.0
1246300943132794882,1246421755055710353,2024-11-29,BTCUSDT,-0.0798116316,0.0
1246300904880742436,1246421702316531717,2024-11-29,ADAUSDT,-0.0410071025,0.0
1246180164818837550,1246421755055710353,2024-11-29,BTCUSDT,-0.1423913328,0.0
1246180161316593670,1246421750903349250,2024-11-29,ETHUSDT,-0.1809252552,0.0
1246180139741093914,1246421726333116424,2024-11-29,SOLUSDT,-0.078887184,0.0
1246180105825951766,1246421702316531717,2024-11-29,ADAUSDT,-0.037836628,0.0
1246059355739660478,1246059355739660478,2024-11-28,BTCUSDT,-0.0764300892,0.0
1246059341193814030,1246059341193814030,2024-11-28,SOLUSDT,-0.05034528,0.0
1246059339004387356,1246059339004387356,2024-11-28,ETHUSDT,-0.1368984288,0.0
1246059305219268653,1246059305219268653,2024-11-28,ADAUSDT,-0.028593796,0.0
1245938666131038220,1246059355739660478,2024-11-28,BTCUSDT,-0.10016916,0.0
1245938654231797772,1246059339004387356,2024-11-28,ETHUSDT,-0.1949640528,0.0
1245938643821535236,1246059341193814030,2024-11-28,SOLUSDT,-0.122362326,0.0
1245938617938485254,1246059305219268653,2024-11-28,ADAUSDT,-0.037114587,0.0
1245817850370334720,1246059341193814030,2024-11-28,SOLUSDT,-0.145248,0.0
1245817845588828192,1246059355739660478,2024-11-28,BTCUSDT,-0.073633536,0.0
1245817844867407895,1246059339004387356,2024-11-28,ETHUSDT,-0.241741332,0.0
1245817804883107854,1246059305219268653,2024-11-28,ADAUSDT,-0.025046661,0.0
1245697067107098653,1245697067107098653,2024-11-27,BTCUSDT,-0.0683245164,0.0
1245697054004092942,1245697054004092942,2024-11-27,ETHUSDT,-0.18592074,0.0
1245697045154111499,1245697045154111499,2024-11-27,SOLUSDT,-0.058754468,0.0
1245696997137719301,1245696997137719301,2024-11-27,ADAUSDT,-0.00880175,0.0
1245576275664969733,1245697067107098653,2024-11-27,BTCUSDT,-0.1134956796,0.0
1245576265137266697,1245697045154111499,2024-11-27,SOLUSDT,-0.05854825,0.0
1245576239103221761,1245697054004092942,2024-11-27,ETHUSDT,-0.162418944,0.0
1245576204584099843,1245696997137719301,2024-11-27,ADAUSDT,-0.014747109,0.0
1245455462311796769,1245697067107098653,2024-11-27,BTCUSDT,-0.2037885156,0.0
1245455439868076062,1245697045154111499,2024-11-27,SOLUSDT,-0.047067492,0.0
1245455436692987908,1245697054004092942,2024-11-27,ETHUSDT,-0.1002041196,0.0
1245455406951178249,1245696997137719301,2024-11-27,ADAUSDT,-0.0081668,0.0
1245334660069335049,1245334660069335049,2024-11-26,SOLUSDT,-0.053222832,0.0
1245334657330454535,1245334657330454535,2024-11-26,ETHUSDT,-0.0874648164,0.0
1245334655359131654,1245334655359131654,2024-11-26,BTCUSDT,-0.1330880752,0.0
1245334580977344567,1245334580977344567,2024-11-26,ADAUSDT,-0.00771205,0.0
1245213869168271381,1245334657330454535,2024-11-26,ETHUSDT,-0.085532328,0.0
1245213862721626119,1245334655359131654,2024-11-26,BTCUSDT,-0.08436978,0.0
1245213855612280847,1245334660069335049,2024-11-26,SOLUSDT,-0.05559216,0.0
1245213813014929421,1245334580977344567,2024-11-26,ADAUSDT,-0.0081617,0.0
1245093075104702484,1245334657330454535,2024-11-26,ETHUSDT,-0.1201582452,0.0
1245093069970874418,1245334655359131654,2024-11-26,BTCUSDT,-0.0953805824,0.0
1245093066074366007,1245334660069335049,2024-11-26,SOLUSDT,-0.0553066,0.0
1245093035556610196,1245334580977344567,2024-11-26,ADAUSDT,-0.018145766,0.0
1244972280172912699,1244972280172912699,2024-11-25,BTCUSDT,-0.1179048236,0.0
1244972268504358931,1244972268504358931,2024-11-25,ETHUSDT,-0.221037582,0.0
1244972253396475920,1244972253396475920,2024-11-25,ADAUSDT,-0.020689306,0.0
1244972250984751134,1244972250984751134,2024-11-25,SOLUSDT,-0.15391652,0.0
1244851478421184520,1244972280172912699,2024-11-25,BTCUSDT,-0.0447168192,0.0
1244851471316033545,1244972268504358931,2024-11-25,ETHUSDT,-0.171439632,0.0
1244851459949469700,1244972250984751134,2024-11-25,SOLUSDT,-0.14193704,0.0
1244851440978632716,1244972253396475920,2024-11-25,ADAUSDT,-0.0186398455,0.0
1244730690716180482,1244972280172912699,2024-11-25,BTCUSDT,-0.0999447,0.0
1244730676711399429,1244972250984751134,2024-11-25,SOLUSDT,-0.125913822,0.0
1244730670738710558,1244972268504358931,2024-11-25,ETHUSDT,-0.1440567828,0.0
1244730599821418525,1244972253396475920,2024-11-25,ADAUSDT,-0.00869805,0.0
1244609893599158293,1244609893599158293,2024-11-24,BTCUSDT,-0.11011042,0.0
1244609876406706191,1244609876406706191,2024-11-24,ETHUSDT,-0.0901503792,0.0
1244609871281266691,1244609871281266691,2024-11-24,SOLUSDT,-0.1220875,0.0
1244609792885530681,1244609792885530681,2024-11-24,ADAUSDT,-0.03167066,0.0
1244489090954043433,1244609871281266691,2024-11-24,SOLUSDT,-0.160857586,0.0
1244489090836602941,1244609893599158293,2024-11-24,BTCUSDT,-0.07880504,0.0
1244489067495301146,1244609876406706191,2024-11-24,ETHUSDT,-0.1195985556,0.0
1244489043310944260,1244609792885530681,2024-11-24,ADAUSDT,-0.027196821,0.0
1244368301919445051,1244609893599158293,2024-11-24,BTCUSDT,-0.0504050472,0.0
1244368285154811919,1244609876406706191,2024-11-24,ETHUSDT,-0.108001704,0.0
1244368276728455171,1244609871281266691,2024-11-24,SOLUSDT,-0.12649488,0.0
1244368242469380102,1244609792885530681,2024-11-24,ADAUSDT,-0.020670708,0.0
1244247525044133909,1244247525044133909,2024-11-23,BTCUSDT,-0.0449092968,0.0
1244247517137870880,1244247517137870880,2024-11-23,SOLUSDT,-0.222967602,0.0
1244247480240578563,1244247480240578563,2024-11-23,ADAUSDT,-0.054252576,0.0
1244247471633866758,1244247471633866758,2024-11-23,ETHUSDT,-0.2352334488,0.0
1244126702127947783,1244247525044133909,2024-11-23,BTCUSDT,-0.04931035,0.0
1244126692837564434,1244247471633866758,2024-11-23,ETHUSDT,-0.1959159936,0.0
1244126680040742935,1244247517137870880,2024-11-23,SOLUSDT,-0.187726176,0.0
1244126664521818118,1244247480240578563,2024-11-23,ADAUSDT,-0.04749426,0.0
1244005904927039493,1244247525044133909,2024-11-23,BTCUSDT,-0.048663228,0.0
1244005887818473485,1244247471633866758,2024-11-23,ETHUSDT,-0.063926784,0.0
1244005871343247366,1244247517137870880,2024-11-23,SOLUSDT,-0.061175282,0.0
1244005814019694598,1244247480240578563,2024-11-23,ADAUSDT,-0.0251777565,0.0
1243885113602351126,1243885113602351126,2024-11-22,BTCUSDT,-0.0445198304,0.0
1243885091473203317,1243885091473203317,2024-11-22,SOLUSDT,-0.10774386,0.0
1243885086670725122,1243885086670725122,2024-11-22,ETHUSDT,-0.0990916416,0.0
1243885040193642498,1243885040193642498,2024-11-22,ADAUSDT,-0.014339143,0.0
1243764320574775302,1243885113602351126,2024-11-22,BTCUSDT,-0.047641632,0.0
1243764310613303338,1243885091473203317,2024-11-22,SOLUSDT,-0.139038936,0.0
1243764290451284017,1243885040193642498,2024-11-22,ADAUSDT,-0.0281009575,0.0
1243764255361736723,1243885086670725122,2024-11-22,ETHUSDT,-0.1324830048,0.0
